network,module,enrichment,correlation
signum0.13_minSize5,aquamarine4,1,-0.236822709714244
signum0.13_minSize5,darkkhaki,1,-0.0476570079830645
signum0.13_minSize5,mistyrose,1,0.465458260401155
signum0.13_minSize5,orchid3,1,-0.125357550868821
signum0.13_minSize5,springgreen1,1,-0.000870028366752946
signum0.13_minSize5,turquoise1,1,-0.00515751353354503
signum0.13_minSize5,slateblue,1,0.0244082705786642
signum0.13_minSize5,yellow2,1,-0.00906625758684134
signum0.13_minSize5,skyblue3,1,-0.222514839302881
signum0.13_minSize5,sienna2,0.037841257509649,0.29861200430948
signum0.13_minSize5,pink3,1,-0.0728170319465148
signum0.13_minSize5,plum1,0.037841257509649,0.504125096054955
signum0.13_minSize5,orangered,1,0.221613866509561
signum0.13_minSize5,mediumpurple,1,-0.0125699181115095
signum0.13_minSize5,seagreen4,1,0.0311372685316926
signum0.13_minSize5,peachpuff,1,-0.0636243055993526
signum0.13_minSize5,olivedrab,1,-0.199487905128109
signum0.13_minSize5,maroon3,1,0.283629850874401
signum0.13_minSize5,lightsalmon2,1,-0.046799197917637
signum0.13_minSize5,lemonchiffon,1,0.0880582602415473
signum0.13_minSize5,lightskyblue4,1,0.0870170601382041
signum0.13_minSize5,honeydew4,1,-0.100793214461898
signum0.13_minSize5,lightblue3,1,-0.0738436245702273
signum0.13_minSize5,indianred2,1,0.0561378820879832
signum0.13_minSize5,firebrick2,1,-0.207372959024802
signum0.13_minSize5,darkolivegreen1,1,0.261801457674455
signum0.13_minSize5,blue3,1,0.0802910256912997
signum0.13_minSize5,brown1,1,0.0293396987115877
signum0.13_minSize5,deeppink1,1,-0.129452993148929
signum0.13_minSize5,deepskyblue1,1,0.137657275043562
signum0.13_minSize5,paleturquoise3,1,-0.0500268381945353
signum0.13_minSize5,powderblue,1,0.0252533106917576
signum0.13_minSize5,cornsilk4,1,-0.025264822676308
signum0.13_minSize5,tomato,1,0.0155619086010199
signum0.13_minSize5,azure4,1,0.0711787531721108
signum0.13_minSize5,cadetblue1,0.0271768651843259,0.0493963829684673
